factor_name,category
中国新造船价格指数,基本面
挖掘机销量,基本面
洗衣机销量,基本面
电冰箱销量,基本面
家用空调销量,基本面
全社会用月电量,宏观面
全社会第一产业月用电量,宏观面
全社会第二产业月用电量,宏观面
全社会第三产业月用电量,宏观面
全社会城乡居民月用电量,宏观面
汽车月销量,基本面
中国CPI:当月同比,宏观面
中国CPI:环比,宏观面
中国PPI:当月同比,宏观面
中国PPI:环比,宏观面
中国出口总额(美元计价):美国:当月值,宏观面
中国制造业PMI,宏观面
中国制造业PMI_主要原材料购进价格,宏观面
中国制造业PMI_产成品库存,宏观面
中国制造业PMI_从业人员,宏观面
中国制造业PMI_供应商配送时间,宏观面
中国制造业PMI_出厂价格,宏观面
中国制造业PMI_原材料库存,宏观面
中国制造业PMI_在手订单,宏观面
中国制造业PMI_新出口订单,宏观面
中国制造业PMI_新订单,宏观面
中国制造业PMI_生产,宏观面
中国制造业PMI_生产经营活动预期,宏观面
中国制造业PMI_进口,宏观面
中国制造业PMI_采购量,宏观面
中国粗钢当月日均产量,基本面
美国:CPI:当月同比,宏观面
美国:CPI:当月环比,宏观面
美国:PPI:所有商品:当月同比,宏观面
美国:PPI:所有商品:当月环比,宏观面
美国:耐用品:库存:季调（月）,宏观面
