指标名称,国际冷轧板卷汇总价格：美国钢厂（中西部）（周）,国际冷轧板卷汇总价格：美国进口（CFR）（周）,国际冷轧板卷汇总价格：欧盟钢厂（周）,国际冷轧板卷汇总价格：欧盟进口（CFR）（周）,国际冷轧板卷汇总价格：日本市场（周）,国际冷轧板卷汇总价格：日本出口（FOB）（周）,国际冷轧板卷汇总价格：印度进口（周）,国际冷轧板卷汇总价格：中东进口（迪拜CFR）（周）,国际冷轧板卷汇总价格：独联体出口（FOB黑海）（周）,国际冷轧板卷汇总价格：南美出口（FOB）（周）,国际冷轧板卷汇总价格：中国市场（周）,国际冷轧板卷汇总价格：中国出口（FOB）（周）
2014/1/10,860,766,721,694,750,710,668,665,605,530,698,620
2014/1/17,866.3,766,721,694,750,710,668,665,605,530,698,620
2014/1/24,874.4,763.1,720,693,754.4,710,661.1,665,605.6,530,698,620
2014/1/31,876.1,761,722.9,695.9,766.9,710,656,665,609.4,530,698,620
2014/2/7,869.4,761,720.8,693.8,771.8,710,660,665,610,530,698,620
2014/2/14,865,761,720,692.9,774,710,700.1,668.6,610,530,698,620
2014/2/21,855.9,761,726,698,772.3,710,726.9,687.1,607.1,530,698,620
2014/2/28,843.9,761,726,698,771,710,726,680,605,530,696.3,620
2014/3/7,839.1,761,729.1,701.1,777.3,713.9,732.9,680,605,530,689.6,620
2014/3/14,833.1,761,734,704,768.4,715,738,680,605,530,685.6,612
2014/3/21,827.9,761,736.7,701.7,775.5,715,750.6,679.8,610.7,530,675.7,605.9
2014/3/28,827,761,737,702,770.9,715,760,675.5,625,530,669,605
2014/4/4,855.3,761,730.1,696,770,710.7,767.4,675,595,530,666.5,600.7
2014/4/11,869,760.2,728.4,694.4,770.3,710,773,671.1,613.6,530,667.4,599.6
2014/4/18,881.1,741.4,731.5,697.5,776.9,710,767.9,670,620,530,667.2,591.1
2014/4/25,891.3,739,731.3,697.3,772.3,710,764,670,619.6,530,664.4,590
2014/5/2,898.4,739,730.3,695.6,771.8,705.9,764,670,611.1,530,660.6,590
2014/5/9,899,739,715.3,681.2,768.3,691.2,764,670,610,530,660.8,590
2014/5/16,898.8,739,720.9,686,773.1,690,772.6,661.4,610,530,659.1,585.7
2014/5/23,893.6,739,722,687,774,690,787,660,610,530,658,585
2014/5/30,892.6,739,710,669,774.8,681.4,795.9,660,622.9,530,658.8,585
2014/6/6,888.5,739,707.8,666,774.1,680,798,660,625,530,657.1,585
2014/6/13,882.6,739,701.8,666,774,680,798.6,660,625,530,655.3,585
2014/6/20,882,739,685.6,651.4,774,680,792.1,660,625,530,655.7,580.7
2014/6/27,877.7,738.2,685.5,651.3,774.9,680,787,660,625,530,653.7,580
2014/7/4,877,713.9,683.7,644.4,775,680,787,660,625,530,653.5,580
2014/7/11,871.9,696.6,680.4,639.4,775,680,788.1,660,625,530,653.9,580
2014/7/18,871,695.8,678.9,643.9,777.6,680,785,660,620.4,530,652.2,575.7
2014/7/25,871,720.1,676,642.6,779.1,680,782,660,608.6,530,652.8,575
2014/8/1,871,728,666,638.4,775.4,680,781.4,660,605,530,653.9,575
