指标名称,国际热轧板卷汇总价格：美国进口（CFR）（周）,国际热轧板卷汇总价格：欧盟钢厂（周）,国际热轧板卷汇总价格：欧盟进口（CFR）（周）,国际热轧板卷汇总价格：日本市场（周）,国际热轧板卷汇总价格：日本出口（FOB）（周）,国际热轧板卷汇总价格：印度出口（FOB）（周）,国际热轧板卷汇总价格：土耳其出口（FOB）（周）,国际热轧板卷汇总价格：东南亚进口（CFR）（周）,国际热轧板卷汇总价格：独联体出口（FOB黑海）（周）,国际热轧板卷汇总价格：中东进口（迪拜CFR）（周）,国际热轧板卷汇总价格：南美出口（FOB）（周）,国际热轧板卷汇总价格：中国市场（周）,国际热轧板卷汇总价格：中国出口（FOB）（周）
2014/1/10,656,585,585,674,580,405,541.4,560,535,570,478,559,530
2014/1/17,656,585,585,674,580,405,540.7,560,535,570,478,559,532.9
2014/1/24,656,591.9,584.3,677.8,582.9,405,539.6,560,535.6,570,478,559,529.3
2014/1/31,656,600.5,586.2,697.4,585.4,405,538.4,560,539,570,478,559,525
2014/2/7,656,602.3,584.5,762.5,588.2,405,537.3,560,536.8,570,478,559,525
2014/2/14,656,603.9,583.9,804,590,405,536.1,560,535,572.9,478,559,525
2014/2/21,656,609,589,802.3,590,405,535,554.3,532.1,587.1,478,559,525
2014/2/28,656,609,589,801,590,405,533.8,550,530,580,478,557.3,525
2014/3/7,656,606.6,591.4,745.2,590,405,532.6,550,530,580,478,553,525
2014/3/14,656,609.2,593.2,719.3,590,405,531.5,550,526.1,580,478,547.3,520.9
2014/3/21,656,611.7,590.7,725.7,590,405,530.3,550,525,579.8,478,535.8,515.9
2014/3/28,656,612,591,722.6,590,405,529.2,550,525,575.5,478,533.5,515
2014/4/4,656,606,579.9,722,581.4,405,528,550,512.1,570.7,478,535.6,515
2014/4/11,655,605.1,577.3,721.5,580,405,526.8,550.4,517.9,570,478,541.8,515.4
2014/4/18,631,607.6,579.7,725.1,580.3,405,525.7,558.9,520,570,478,543,523.8
2014/4/25,628.8,607.3,580.1,666.8,588.3,405,524.5,559.8,520,570,478,537.3,520.7
2014/5/2,647.6,609.7,582.7,655,588,405,523.4,555.5,522,570,478,534.9,515.5
2014/5/9,650,610,583,652.2,580.6,405,522.2,555,529.4,570,478,537.1,515
2014/5/16,650,610.9,583,655.4,580,405,521.1,546.4,530,569.6,478,536.9,510.5
2014/5/23,650,611,583,656,580,405,519.9,545,530,561.1,478,536.8,505.5
2014/5/30,650,610,582.5,656.8,571.4,405,518.7,540.7,534.3,560,478,540.4,505
2014/6/6,650,598.8,577,656.1,569.5,405,517.6,540,535,560,478,539.7,505
2014/6/13,650,590.8,576,656,556.6,405,516.4,540,535,560,478,543,505
2014/6/20,650,577.1,563.1,656,555,405,515.3,535.7,535,560,478,544,505
2014/6/27,650,577.3,563.6,656.9,559,405,514.1,535,535,559.9,478,543.2,505
2014/7/4,650,569.6,566.3,657,552.4,405,512.9,535,535,556.2,478,544,505
2014/7/11,650,564.4,558.4,657,550,405,511.8,535,530.7,619.3,478,546.5,505
2014/7/18,650.3,565.8,556.3,659.6,550,405,510.6,535,530.1,630,478,548.3,509.3
2014/7/25,659.1,568.6,554.7,659.6,550,405,509.5,535,533.8,630,478,546,510
2014/8/1,662,564.4,551.3,649.1,550,405,508.3,535,535,630,478,546.5,510
2014/8/8,662,563.9,562.1,647.8,550,405,507.1,535.4,535,630,478,546.9,510
2014/8/15,662,563.1,563.1,646.2,550,405,506,539.6,535,630,478,546.9,510
2014/8/22,671.4,561.7,561.7,644.3,549.3,405,504.8,539.3,532.1,621.4,478,540.4,508.6
2014/8/29,673.8,554.4,554.4,634.6,545.4,405,503.7,535,539.3,574.3,478,527.5,500.7
2014/9/5,682.4,550.4,550.4,631.4,545,405,502.5,530,540.7,570,478,510.4,499.3
2014/9/12,684,541.7,541.7,623.1,545,405,501.4,525,541.1,570,478,489.7,495
2014/9/19,684,543.3,542.7,615.1,545,405,500.2,524.1,540,569.6,478,487,494.6
2014/9/26,684,546.9,539.1,606.8,545,405,499,515.9,541.4,564,478,477.3,490.4
2014/10/3,678.9,548.1,536,604,544.3,405,497.9,506.4,542.1,558.6,478,478.7,481.4
2014/10/10,678,548.4,535.6,609.9,541.1,405,496.7,505,529.3,552.1,478,492.6,480
2014/10/17,669.4,543.4,530.4,607.6,532.1,405,495.6,505,525,540,478,486.5,479.6
2014/10/24,667,548.1,535.1,610.3,530,405,494.4,505,525,530,478,485.7,475.7
2014/10/31,662.7,540.4,533.4,602.4,529.8,405,493.2,505,524.3,529.6,478,481.2,475
2014/11/7,660.8,534.7,528.7,578,525.5,405,492.1,504,507.1,521.1,478,480.2,475
2014/11/14,656.4,519.3,513.3,567.3,523.2,405,490.9,499.4,501.4,519.1,478,481.7,474.1
2014/11/21,656,516,508,558.3,516.1,405,489.8,495.5,485.7,515.5,478,484.4,470.5
2014/11/28,632,511.4,498.9,544.9,515,405,488.6,490.6,477.9,515,478,485.9,465.6
2014/12/5,627.4,511.7,499.7,539.3,515,405,487.5,485.9,475,514.5,478,491.7,460.9
2014/12/12,613.7,502.9,493.5,528.3,515,405,486.3,485,472.5,501.6,478,497.3,460
2014/12/19,612,494.4,492.3,540.9,511.1,405,485.1,485,450.4,492.1,478,502.4,460
2014/12/26,612,488,482,537.9,510,405,484,485,445,490,478,493.6,460
2015/1/2,612,481.6,475.6,535,510,405,482.8,483,445,486,478,487,460
2015/1/9,611.2,472.3,466.3,532.9,509.6,405,481.7,480.2,445,480.4,478,485.1,458.9
2015/1/16,602.1,467.4,461.5,539.7,505.6,405,480.5,479.7,445.1,475.7,478,464.3,443.1
2015/1/23,586.9,458.4,453.7,541.8,500.9,405,479.3,471.4,448.6,469.7,478,440.1,422
2015/1/30,584,448.3,456.4,541.3,499.8,405,478.2,461,433.4,461.7,478,408.6,403.4
2015/2/6,583.7,456.7,442.8,543.7,495.4,405,477,441.7,429.4,459.9,478,406.3,391.4
2015/2/13,574.9,458,441,544,490.9,405,475.9,427.6,413.4,455.9,478,404.8,380
2015/2/20,564.7,458.3,439.8,542.5,488.5,405,474.7,417.3,403.8,442.7,478,404.7,380
2015/2/27,549.5,458.8,437.7,539.6,484.2,405,473.5,404.1,393.3,421.6,478,404.2,379.8
2015/3/6,521,455.6,433.6,533.7,442,405,472.4,400,388.6,415,478,403.6,374.1
2015/3/13,517.4,440.1,417.9,529.3,424.3,405,471.2,399.9,382.1,415,478,390.6,367.1
2015/3/20,499.8,435,404.7,527.2,420,405,470.1,395.9,380,415,478,389.3,365
