指标名称,国际热轧板卷汇总价格：美国进口（CFR）（月）,国际热轧板卷汇总价格：欧盟钢厂（月）,国际热轧板卷汇总价格：欧盟进口（CFR）（月）,国际热轧板卷汇总价格：日本市场（月）,国际热轧板卷汇总价格：日本出口（FOB）（月）,国际热轧板卷汇总价格：印度出口（FOB）（月）,国际热轧板卷汇总价格：土耳其出口（FOB）（月）,国际热轧板卷汇总价格：东南亚进口（CFR）（月）,国际热轧板卷汇总价格：独联体出口（FOB黑海）（月）,国际热轧板卷汇总价格：中东进口（迪拜CFR）（月）,国际热轧板卷汇总价格：南美出口（FOB）（月）,国际热轧板卷汇总价格：中国市场（月）,国际热轧板卷汇总价格：中国出口（FOB）（月）
2005/10/1,504.2,397.2,988,665.1,600,405,476.2,620,402.5,395,478,559,600
2005/11/1,556.4,443.1,988,648.9,578.7,405,452.5,620,411.9,426.6,478,559,600
2005/12/1,568.8,443.4,988,630.1,535.3,405,430,620,388,430,478,559,600
2006/1/1,573.8,426.1,988,620.8,509.8,405,400,620,369.9,429.7,478,559,600
2006/2/1,543.8,441.6,988,592.7,480.7,405,401.5,620,344.8,374.8,478,559,600
2006/3/1,532.1,438.6,988,596.3,481.4,405,400,620,350,370,478,559,600
2006/4/1,551,446.4,988,610.5,476.2,405,420,620,401.9,431,478,559,600
2006/5/1,564.9,516.2,988,602.7,460.2,405,440,620,426.5,496.1,478,559,600
2006/6/1,616,569.8,988,630.2,483.9,405,447.7,620,509.7,527.5,478,559,600
2006/7/1,690,620.9,988,640,516.3,405,551,620,557.6,567.5,478,559,600
2006/8/1,687.8,616.1,988,640,540,405,605.5,620,589.8,583.4,478,559,600
2006/9/1,664.5,628.6,988,633.3,540,405,590.6,620,569.7,547.9,478,559,600
2006/10/1,613.3,633.8,988,607.3,540,405,577.3,620,474,531.3,478,559,600
2006/11/1,604.6,582.1,988,610.9,524.5,405,570,620,473.5,542.9,478,559,600
2006/12/1,575.2,567,988,606.6,520,405,563.3,620,480,534,478,559,600
2007/1/1,555.3,594.9,988,606,514.8,405,567.4,620,480,489.7,478,559,600
2007/2/1,540,568.8,988,607,503.9,405,551.6,620,480,480,478,559,600
2007/3/1,560.2,583.2,988,621.4,511.1,405,524.8,620,503.1,517.5,478,559,600
2007/4/1,634,622.9,988,632.2,528.7,405,555.2,620,522.7,584.2,478,559,600
2007/5/1,679.6,639.1,988,636,530,405,570,620,530.7,605.7,478,559,600
2007/6/1,681.5,665.7,988,632.1,537.7,405,583.5,620,548.7,610,478,559,600
2007/7/1,649.8,640.3,988,630,545,405,654.7,620,525,600.8,478,559,600
2007/8/1,595,638.5,988,615.2,550,405,627.7,620,520,586.5,478,559,600
2007/9/1,593.6,622.5,988,630.1,550,405,611.1,620,520,585.8,478,559,600
2007/10/1,573,625.1,988,657.5,550,405,619.9,620,521.1,613.3,478,559,600
2007/11/1,573,639.9,988,664,550,405,620,620,562,640.3,478,559,600
2007/12/1,573,664.5,988,676.6,557,405,620,620,565.5,646.3,478,559,600
2008/1/1,573,656.4,988,682,569.4,405,620,646.5,570,640,478,559,600
2008/2/1,660.4,677.4,988,686.3,591.3,405,620,725.6,609.4,672.3,478,559,600
2008/3/1,764.2,710,988,714.4,671.6,405,697.9,759,654.5,731.4,478,559,600
2008/4/1,882.9,852.3,988,822.1,775.6,405,827.1,859.4,803.9,862.6,478,559,600
2008/5/1,1063.1,942.2,999.1,990.5,838,405,940,919.1,940,1000,478,559,600
2008/6/1,1182.5,959.6,1052.5,996.3,881.9,405,940,987.5,940,1061.9,478,559,600
2008/7/1,1213.4,1014,1145.8,1048.8,936.7,405,1040.7,1031.3,1030,1100.7,478,559,600
2008/8/1,1237.9,1194.2,1199,1043.1,1021.3,405,1200,1063.2,1048.7,1128.1,478,559,600
2008/9/1,1240,1210.3,1185.2,1057.4,1050,405,1135.5,994.8,1127.4,1086.5,478,559,600
2008/10/1,1065,1181,1180,1060,1042.7,405,1052.5,857.7,1091.5,961.2,478,559,600
2008/11/1,977.9,985.8,969,1068.2,1030,405,825.8,729.7,765.3,781.8,478,559,600
2008/12/1,847.4,706,639.7,1074.6,987.3,405,676.7,510.7,612.5,560,478,559,600
2009/1/1,658.7,564.4,536.8,1012.1,861.3,405,600,478.7,475,470,478,559,600
2009/2/1,548.6,569.3,500,948.2,800,405,517.7,481,431.5,457.7,478,559,600
2009/3/1,524,527.1,487.9,945,646.4,405,438,489.3,390,457.1,478,559,600
2009/4/1,515.1,501.9,449.5,826.4,577.1,405,434.5,433.5,384.8,439.7,478,559,600
2009/5/1,454.9,483.2,432.7,697.1,494,405,400,422.7,346.3,408.3,478,559,600
2009/6/1,415.6,464.2,443.6,686.9,450,405,397.1,434.2,340,396.3,478,559,600
2009/7/1,380,459.2,488,705.3,445.3,405,409.5,474.3,396.7,395,478,559,600
2009/8/1,434.4,508.2,529,701.5,486.1,405,461.8,520.6,506.3,493.2,478,559,600
2009/9/1,518.7,556.8,587.9,691.9,517.1,405,465,558.1,532.2,601,478,559,600
