指标名称,冷轧无取向硅钢：50WW1300：0.5*1200*C：市场价：等权平均（周）,冷轧取向硅钢：30Q120：0.3*980*C：市场价：等权平均（周）,冷卷：SPCC：1*1250*C：市场价：等权平均（周）,热轧板卷：Q235B：5.75*1500*C：市场价：等权平均（周）,热轧酸洗板卷：SPHC：3*1250*C：市场价：等权平均（周）,中厚板：Q235B：20mm：价格指数：辽宁（周）,螺纹钢：HRB400E：Φ20：汇总价格：上海（周）,无取向电工钢：中低牌号：牌号等权平均：0.5*1200*C：出厂价：本钢集团（周）
2014/1/10,,,4209,3455,,3506.7,,
2014/1/17,,,4204.1,3433,,3499,3320,
2014/1/24,,,4203,3433.7,,3497.8,3310,
2014/1/31,,,4207.9,3430.2,4797,3497.8,3300,
2014/2/7,,,4204.9,3429.1,4803.4,3497.8,3300,
2014/2/14,5290,12342.9,4191.4,3422.1,4818.4,3497.8,3272.9,
2014/2/21,5284.3,12312.3,4173.6,3408.2,4833.4,3509.6,3230,
2014/2/28,5275.7,12238.7,4147,3384.6,4848.4,3539.3,3204.3,
2014/3/7,5258.6,12171.4,4120.4,3363.2,4857,3529.6,3161.4,
2014/3/14,5241.4,12171.4,4081.4,3311.4,4857,3506.5,3128.6,
2014/3/21,5194.3,12171.4,4064.6,3305.7,4857,3487.8,3161.4,
2014/3/28,5151.4,12171.4,4064.1,3311.8,4857,3476.6,3180,
2014/4/4,5121.4,12171.4,4057.6,3332.5,4855.6,3491.4,3212.9,
2014/4/11,5090,12036.7,4058.1,3367.3,4845.3,3512.1,3287.1,
2014/4/18,5061.4,11981.6,4076.1,3396.1,4833.7,3528,3330,
2014/4/25,5054.3,11949,4072.6,3383.6,4822,3530.4,3264.3,
2014/5/2,5038.6,11906.1,4066.7,3374,4810.1,3525.9,3231.4,
2014/5/9,5027.1,11900,4060,3370.4,4790.9,3525.9,3198.6,
2014/5/16,5015.7,11900,4054.6,3360.7,4768.3,3518.3,3141.4,
2014/5/23,4985.7,11900,4045,3350.7,4745.7,3499.8,3072.9,
2014/5/30,4980,11900,4034.3,3353.9,4723.1,3485.6,3080,
2014/6/6,4971.4,11900,4024.6,3345,4702.2,3482.6,3070,
2014/6/13,4944.3,11900,4018.4,3337.9,4684.9,3477.4,3062.9,
2014/6/20,4938.6,11900,4008.4,3335,4667.7,3473.6,3065.7,
2014/6/27,4924.3,11887.7,3997.4,3347.9,4650.4,3467.8,3060,
2014/7/4,4901.4,11902,3986.4,3351.4,4633.2,3461,3060,
2014/7/11,4880,11914.3,3977.3,3345.4,4616,3455.7,3077.1,
2014/7/18,4855.7,11938.8,3973.7,3348.9,4598.8,3452.2,3130,
2014/7/25,4840,11957.1,3975.6,3345.7,4581.6,3450.4,3125.7,
2014/8/1,4845.7,11957.1,3973.7,3344.3,4564.4,3429.4,3090,
2014/8/8,4850,11957.1,3974.3,3341.4,4557,3400.4,3088.6,
2014/8/15,4850,12055.1,3978.4,3333.6,4557,3371.1,3060,
2014/8/22,4850,12122.5,3976.4,3313.2,4557,3331.5,2990,
2014/8/29,4850,12094.9,3975.7,3271.8,4557,3298.7,2927.1,
2014/9/5,4850,12085.7,3970,3218.2,4553.2,3273.3,2851.4,
2014/9/12,4850,12085.7,3960.7,3140.4,4535.7,3253.9,2794.3,
2014/9/19,4850,12085.7,3945.4,3098.2,4517,3208.8,2811.4,
2014/9/26,4844,12122.5,3922.4,3043.6,4498.3,3168.2,2782.9,
2014/10/3,4846,12251.1,3910.6,3027.3,4480.8,3148.5,2776.4,
2014/10/10,4846,12342.9,3910.5,3034.6,4477,3148.5,2797.9,
2014/10/17,4843.1,12446.9,3901.2,3063.9,4477,3141.4,2860.7,
2014/10/24,4837.7,12594.9,3895,3059.3,4477,3114.2,2897.1,
2014/10/31,4831.4,12599,3883.6,3038.9,4477,3099.9,2915.7,
2014/11/7,4818.6,12578.6,3879.6,3026.1,4477,3096.6,2931.4,
2014/11/14,4810,12582.7,3865.6,3010.7,4477,3071.3,2934.3,
2014/11/21,4801.4,13327.5,3845.3,3004.6,4477,3035.9,2888.6,
