指标名称,冷轧无取向硅钢：50WW1300：0.5*1200*C：市场价：等权平均（月）,冷轧取向硅钢：30Q120：0.3*980*C：市场价：等权平均（月）,冷卷：SPCC：1*1250*C：市场价：等权平均（月）,热轧板卷：Q235B：5.75*1500*C：市场价：等权平均（月）,热轧酸洗板卷：SPHC：3*1250*C：市场价：等权平均（月）,中厚板：Q235B：20mm：价格指数：辽宁（月）,螺纹钢：HRB400E：Φ20：汇总价格：上海（月）,无取向电工钢：中低牌号：牌号等权平均：0.5*1200*C：出厂价：本钢集团（月）
2005/10/1,5936.7,,4966.7,,,,,
2005/11/1,5775.6,,4725.3,,,,,
2005/12/1,5332.3,,4306.2,,,,,
2006/1/1,4976.5,,4179,,,,,
2006/2/1,4854.8,,4128.7,,,,,
2006/3/1,4853.6,,4432,,,,,
2006/4/1,5153.2,,4997.8,,,,,
2006/5/1,5200,,5008.4,,,,,
2006/6/1,5161.3,,4979.2,,,,,
2006/7/1,5183.3,,5276.5,,,,,
2006/8/1,5250,,4868.6,,,,,
2006/9/1,5143.5,,4567.2,,,,,
2006/10/1,5166.7,,4514.3,,,,,
2006/11/1,5325.8,,4630.6,,,,,
2006/12/1,5247.8,,4587.2,,,,,
2007/1/1,5296.2,,4670.6,,,,3200,
2007/2/1,5557,,4930.6,,,,3227.4,
2007/3/1,6221.3,,5013.5,,,,3365.7,
2007/4/1,6355.4,,5031.2,,,,3393.9,
2007/5/1,6281,,4959.6,,,,3418.4,
2007/6/1,6388.7,,4953.1,,,,3478,
2007/7/1,6368.7,,4786.7,,,,3387.3,
2007/8/1,6297.3,,4622.5,,,,3546.5,
2007/9/1,6354.1,,4722.3,,,,3826,
2007/10/1,6462.5,,4994,,,,4061.4,
2007/11/1,6498.3,,5004.8,,,,4035.5,
2007/12/1,6543.8,,5051.6,,,,4302.7,
2008/1/1,6755.8,,5448.4,,,,4572.7,
2008/2/1,6864.5,,5674.2,,,,4415.5,
2008/3/1,7056.3,,5970.6,,,,4569.2,
2008/4/1,7594.1,,6397,,,,4863.3,
2008/5/1,7565.8,,6471.8,,,,5112.6,
