日期,热轧板卷4.75mm,铁矿62%Fe现货交易基准价,进口铁矿石价格指数,国产铁矿石价格指数,冷轧板卷0.5mm,热轧板卷4.75mm(raw)
2019/9/3,nan,730,677.3,806.8,4600,3741
2019/9/4,3748,730,678.5,806.8,4604,3748
2019/9/5,3755,740,689.5,806.8,4609,3755
2019/9/6,nan,735,689.4,806.8,4604,3745
2019/9/9,3757,735,682.6,808.2,4606,3757
2019/9/10,3769,735,691.5,808.2,4616,3769
2019/9/11,3765,740,681.9,815.4,4620,3765
2019/9/12,nan,750,682.5,818.4,4624,3764
2019/9/16,nan,758,689.2,818.4,4627,3775
2019/9/17,3768,758,693.3,825.1,4626,3768
2019/9/18,3760,758,685.3,831.1,4625,3760
2019/9/19,3740,742,681.9,831.1,4623,3740
2019/9/20,3715,742,670.8,831.1,4608,3715
2019/9/23,3733,742,664.8,830.5,4609,3733
2019/9/24,3745,740,665,830.5,4616,3745
2019/9/25,3741,730,664.1,836.5,4616,3741
2019/9/26,3730,730,664.8,836.5,4615,3730
2019/9/27,3719,740,664.8,836.5,4614,3719
2019/9/29,3727,,671.1,836.5,4614,3727
2019/9/30,3730,755,673,836.5,4612,3730
2019/10/8,nan,762,673,837.7,4614,3730
2019/10/9,nan,752,676.6,837.7,4616,3720
2019/10/10,nan,752,663,834.7,4615,3713
2019/10/11,nan,739,664.2,834.7,4612,3702
2019/10/12,nan,,660.6,834.7,4612,3702
2019/10/14,nan,739,660.6,834.7,4612,3705
2019/10/15,nan,730,655.6,838.7,4607,3685
2019/10/16,nan,720,654.6,841,4605,3679
2019/10/17,nan,705,647.5,845,4597,3665
2019/10/18,nan,700,644.1,845,4595,3658
2019/10/21,3647,688,641.6,841.8,4591,3647
2019/10/22,3645,688,642.9,838.7,4586,3645
2019/10/23,3648,688,646.4,835.7,4584,3648
2019/10/24,3647,688,639.4,831.7,4582,3647
2019/10/25,nan,690,642.8,831.7,4580,3647
2019/10/28,3650,690,648.7,826.3,4579,3650
2019/10/29,3650,685,636.8,824.3,4576,3650
2019/10/30,3647,680,632.8,818.2,4577,3647
2019/10/31,3653,675,632.8,818.2,4579,3653
2019/11/1,3649,675,629.1,818.2,4578,3649
2019/11/4,3649,670,627.3,817.6,4575,3649
2019/11/5,3651,660,625.3,814.5,4575,3651
2019/11/6,3664,660,619.1,805.5,4575,3664
2019/11/7,3669,655,620.3,805.5,4578,3669
2019/11/8,nan,648,611.4,805.5,4579,3663
2019/11/11,3656,633,604.8,799.4,4576,3656
2019/11/12,3660,628,599,786.4,4575,3660
2019/11/13,3670,628,599,786.4,4579,3670
2019/11/14,3682,633,597.8,777.3,4583,3682
2019/11/15,3708,648,606.5,773.3,4593,3708
2019/11/18,'3723',648,616.5,772.8,4604,3723
2019/11/19,3728,653,614.4,772.8,4616,3728
2019/11/20,3763,653,619.4,769.8,4631,3763
2019/11/21,3768,656,619.1,769.8,4633,3768
2019/11/22,3771,656,619.1,770.2,4634,3771
2019/11/25,3795,664,625.2,770.2,4647,3795
2019/11/26,'text',667,629.6,770.2,4667,3803
2019/11/27,3801,662,626.6,773.8,4674,3801
2019/11/28,'text',665,624.9,773.8,4674,3801
2019/11/29,nan,665,626,773.8,4680,3807
2019/12/2,3805,665,618.2,772.1,4693,3805
2019/12/3,3813,665,623.6,772.1,4701,3813
2019/12/4,3819,668,632.1,772.1,4702,3819
2019/12/5,3823,668,634.5,772.1,4709,3823
2019/12/6,3821,665,631.1,772.1,4711,3821
2019/12/9,3840,675,636.1,772.1,4728,3840
2019/12/10,3855,672,650.6,772.1,4742,3855
2019/12/11,3870,680,649.3,772.1,4750,3870
2019/12/12,3878,680,646.2,778.2,4752,3878
2019/12/13,3880,678,651.5,778.2,4754,3880
2019/12/16,3885,675,648.5,777.1,4760,3885
2019/12/17,3879,670,646.3,777.1,4761,3879
2019/12/18,3880,670,642.1,777.1,4759,3880
2019/12/19,3878,670,642.1,777.1,4758,3878
2019/12/20,3875,666,646.1,777.1,4755,3875
2019/12/23,3879,670,648.8,774.7,4751,3879
2019/12/24,3877,665,641.9,774.7,4752,3877
2019/12/25,3877,660,639.4,776.1,4745,3877
